Kode;Komponen;Satuan;Harga_Dasar;Kategori
;"Pipa HDPE, DN. 20""
(500 mm)";m';143000;Material
;Pipa HDPE dia. 600 mm;m';156000;Material
;"Pipa HDPE, DN. 24""
(600 mm";m';157000;Material
;Pipa HDPE dia. 800 mm;m';164000;Material
;"Pipa HDPE, DN. 32""
(800 mm)";m';165000;Material
;Pipa HDPE dia. 900 mm;m';172000;Material
;"Pipa HDPE, DN. 36""
(900 mm)";m';173000;Material
;Pipa HDPE dia. 1000 mm;m';186000;Material
;"Pipa HDPE, DN. 40""
(1000 mm)";m';187000;Material
;Pipa HDPE dia. 1100 mm;m';197000;Material
;"Pipa HDPE, DN. 44""
(1100 mm)";m';198000;Material
;Pipa HDPE dia. 1200 mm;m';215000;Material
;"Pipa HDPE, DN. 48""
(1200 mm)";m';216000;Material
;Pipa HDPE dia. 15 mm;m';12500;Material
;"Pipa HDPE, DN. 1/2""
(15 mm)";m';13000;Material
;Pipa HDPE dia. 20 mm;m';17900;Material
;"Pipa HDPE, DN. 3/4""
(20 mm)";m';18000;Material
;Pipa HDPE dia. 25 mm;m';20700;Material
;"Pipa HDPE, DN. 1""
(25 mm)";m';21000;Material
;Pipa HDPE dia. 32 mm;m';21300;Material
;"Pipa HDPE,
DN. 1-1/4"" (32 mm)";m';22000;Material
;Pipa HDPE dia. 40 mm;m';22500;Material
;"Pipa HDPE,
DN. 1-1/2"" (40 mm)";m';23000;Material
;Pipa HDPE dia. 50 mm;m';23100;Material
;"Pipa HDPE, DN. 2""
(50 mm)";m';24000;Material
;Pipa Baja dia. 63 mm;m';520000;Material
;"Pipa Baja Karbon, DN.
2-1/2"" (65 mm)";m';525000;Material
;Pipa Baja dia. 100 mm;m';645000;Material
;"Pipa Baja Karbon, DN.
4"" (100 mm)";m';650000;Material
;Pipa Baja dia. 125 mm;m';766000;Material
;"Pipa Baja Karbon, DN.
5"" (125 mm)";m';770000;Material
;Pipa Baja dia. 150 mm;m';810000;Material
;"Pipa Baja Karbon, DN.
6"" (150 mm)";m';815000;Material
;Pipa Baja dia. 200 mm;m';890000;Material
;"Pipa Baja Karbon, DN.
8"" (200 mm)";m';895000;Material
;Pipa Baja dia. 250 mm;m';940000;Material
;"Pipa Baja Karbon, DN.
10"" (250 mm)";m';945000;Material
;Pipa Baja dia. 300 mm;m';1050000;Material
;"Pipa Baja Karbon, DN.
12"" (300 mm)";m';1055000;Material
;Pipa Baja dia. 400 mm;m';2300000;Material
;"Pipa Baja Karbon, DN. 16""
(400 mm)";m';2305000;Material
;Pipa Baja dia. 450 mm;m';2450000;Material
;"Pipa Baja Karbon, DN. 18""
(450 mm";m';2455000;Material
;Pipa Baja dia. 500 mm;m';2560000;Material
;"Pipa Baja Karbon, DN.
20"" (500 mm)";m';2565000;Material
;Pipa Baja dia. 600 mm;m';2650000;Material
;"Pipa Baja Karbon, DN. 24""
(600 mm)";m';2655000;Material
;Pipa Baja dia. 800 mm;m';2790000;Material
;"Pipa Baja Karbon, DN. 32""
(800 mm)";m';2795000;Material
;Pipa Baja dia. 900 mm;m';2950000;Material
;"Pipa Baja Karbon, DN. 36""
(900 mm)";m';2955000;Material
;Pipa Baja dia. 1000 mm;m';3110000;Material
;"Pipa Baja Karbon, DN. 40""
(1000 mm)";m';3115000;Material
;Pipa Baja dia. 1100 mm;m';3230000;Material
;"Pipa Baja Karbon, DN. 44""
(1100 mm)";m';3235000;Material
;Pipa Baja dia. 1200 mm;m';3350000;Material
;"Pipa Baja Karbon, DN. 48""
(1200 mm";m';3355000;Material
;"PVC  Ø 1 1/4""  s  10 tekanan nominal 10 bar (1,0 mpa) 4m";batang;79700;Material
;"PVC  Ø 1 1/5""  s  10 tekanan nominal 10 bar (1,0 mpa) 6m";batang;145400;Material
;"PVC  Ø 1""  s  10 tekanan nominal 10 bar (1,0 mpa) 4m";batang;51600;Material
;"PVC  Ø 1/2""  s  10 tekanan nominal 10 bar (1,0 mpa) 4m";batang;30700;Material
;"PVC  Ø 2""  s  12,5 tekanan nominal 10 bar (1,0 mpa) 6m";batang;214900;Material
